,Datetime,Favorites,Text,Retweets
0,2020-06-24 23:57:46+00:00,951,Please help us find this cold blooded killer who gunned down 2 kids on Chicago's South Side this weekend. Please RETWEET this even if you're not from Chicago a RETWEET will make this spread far and wide. #BlackLivesMatter #SilenceIsViolence,1896
1,2020-06-24 23:41:07+00:00,58244,Your daily reminder that the #BlackLivesMatter protests aren’t going anywhere. This is Boston right now. Week 4. ,31658
2,2020-06-24 23:29:09+00:00,593,Elijah McClain should be alive today. My heart is heavy for him and his family. His case must be reopened. He and his family deserve justice. And we've got to work to increase accountability and oversight to end systemic racism in our criminal justice system. #BlackLivesMatter,151
3,2020-06-24 23:12:59+00:00,14,Hank Newsome Brotha is a Black Hitler #BlackLivesMatter is a radical hate group just like the KKK. Hate is Hate #BlackNotDemocrat,8
4,2020-06-24 23:05:12+00:00,40,#BlackLivesMatter protesters marching down Elmwood Avenue in Buffalo ,14
5,2020-06-24 22:54:36+00:00,8753,#BlackLivesMatter: Today would be a good day to finally arrest the cops who murdered #BreonnaTaylor.,3330
6,2020-06-24 22:45:38+00:00,221,"Called it, the dems would rather STALL police reform talks until a ""Joe biden victory"" so they can take credit for it, rather than give a win to the GOP. Democrats, you are being SWINDLED. #BlackLivesMatter #Trump",71
7,2020-06-24 22:44:18+00:00,1050,"Jamaica is to request a redesign of the badge worn by Governors General since independence, to remove the imagery depicting St Michael standing on the neck of a chained Black man portrayed as a devil. #BlackLivesMatter ",425
8,2020-06-24 22:00:58+00:00,189,Mauritania another African country still subject their people to slavery. Where’s #BlackLivesMatter ?? ,98
9,2020-06-24 22:00:51+00:00,11698,"Dear God. This is unconscionable. How many more must we watch til some stop making this political and acknowledge there’s a crisis in America? If you’re a POC, DO NOT LEAVE HOME WITHOUT A SMARTPHONE. If u see something, tape it. Denounce it. Make it public. #BlackLivesMatter ",4688
10,2020-06-24 21:59:35+00:00,3720,"continue to speak out, your voice matters #BlackLivesMatter ",1049
11,2020-06-24 21:48:53+00:00,24902,IM AT A RACIST HOTEL RIGHT NOW! I can’t believe what I’m dealing with right now! This is Torture & Abuse Where is #BlackLivesMatter ? I WANT JUSTICE! Please Help me share my story with the world! PLEASE RETWEET &amp; USE #JusticeForTerrenceKWilliams @w_terrence,7579
12,2020-06-24 21:29:26+00:00,14,PREACH!!!... #BlackLivesMatter #RACISM...,4
13,2020-06-24 21:07:34+00:00,1898,"Helen Keller’s birthday is June 27 & it’s #Deafblind Awareness Week. Helen knew she benefited from white privilege. A fierce activist, she protested, wrote articles &amp; donated to orgs working to end racism. I'm confident #HelenKeller would emphatically affirm #BlackLivesMatter ",628
14,2020-06-24 20:44:38+00:00,1964,We must seek justice for #ElijahMcClain and his family. We can never accept that we must live in a country where one group of Americans is less safe for no other reason than they are Black. #BlackLivesMatter ,743
15,2020-06-24 20:40:15+00:00,31,"""The ultimate tragedy is not the oppression and cruelty by the bad people but the silence over that by the good people."" - Dr. Martin Luther King Jr. #BlackLivesMatter ",15
16,2020-06-24 20:34:52+00:00,208,"21 year old Destiny Harrison was gun down in her own salon ,and was shot and killed in front of her one year daughter. Say her name ! #BlackLivesMatter ",113
17,2020-06-24 20:29:30+00:00,11,Injustice anywhere is a threat to justice everywhere. #BlackLivesMatter ,2
18,2020-06-24 20:11:48+00:00,4,“Those boys tried to attack me” #missmillie #Karen #blacklivesmatter ,0
19,2020-06-24 23:53:06+00:00,540,Please help us find this cold blooded killer who gunned down 2 kids on Chicago's South Side this weekend. Please RETWEET this even if you're not from Chicago a RETWEET will make this spread far and wide. #BlackLivesMatter #SilenceIsViolence,978
20,2020-06-24 23:52:51+00:00,485,A message from .@StevieWonder Watch the full video here: https://youtu.be/fk5Lhg9DV4M #BlackLivesMatter ,196
21,2020-06-24 23:13:44+00:00,495,"Respectability politics inherently contradict the #BlackLivesMatter movement. If you are quantifying how ""good"" a Black person was as a reason they shouldn't be murdered, you're upholding white supremacy. ",158
22,2020-06-24 22:56:32+00:00,2,This cover art of overseers... ahem... officers appearing so forlorn and pensive over their lost hero is so apropos. #BlackLivesMatter #SurvivingAmericasPolice #EndPoliceBrutality https://www.wsj.com/articles/after-years-of-debate-confederate-symbols-disappear-quickly-11591905565?st=1iax9yr55iq6ja5,2
23,2020-06-24 22:43:49+00:00,28,RUN IT UP EVEN MORE! #wonnationisoverparty #BlackLivesMatter ,22
24,2020-06-24 22:01:26+00:00,9,Drop a for UNITY! #BlackLivesMatter #PaliRoots ⁠,2
25,2020-06-24 21:41:05+00:00,795,"The worst thing the #BlackLivesMatter did to #blackpeople is convince you that you shouldn't discuss Black-on-Black crime. That's how over 100 people can be shot in one weekend in Chicago, and nobody gives a f**k",235
26,2020-06-24 21:28:45+00:00,451,"My friends god brother was murdered by Anaheim police on March 2018. He was unarmed, clearly not resisting. And they still murdered him. Her and her family deserve justice. All details posted and link to petition. #ICantBreathe #BlackLivesMatter ",414
27,2020-06-24 21:25:49+00:00,6,#ApartheidIsrael's puppet Engel losing the election. #StopAnnexation #StopZionism #BlackLivesMatter #PalestinianLivesMatter #Everylifematters #ICC4IsraelNOW #StopAIPAC,7
28,2020-06-24 20:49:14+00:00,194,"So Spokane is not as bad as Yakima, but good lord #MaskUpWA. The last 4 days i worked i counted masks worn, the amount was under 40, i actually worked more hours than masks worn. No one is oppressing you, we are trying to save lives. Oh and #BlackLivesMatter",19
29,2020-06-24 20:41:48+00:00,14,Where is the outcry from all the lefties #Antifas #BlackLivesMatter #WhiteLivesMatter,4
30,2020-06-24 20:35:43+00:00,9,"RETWEET ME PLEASE, NEW ALBUM SATURDAY!!! ALL PROCEEDS ARE GOING TO SUPPORT #BLACKLIVESMATTER ",12
31,2020-06-24 19:42:40+00:00,439,"Black, in a corporate setting, yet feel invisible? Don't want to rock the boat because you're one of few allowed ""in the club?"" Sometimes, I too feel that way. It's been weighing on me a lot during #BlackLivesMatter. I wrote a few words for me, but might mean something to you: ",184
32,2020-06-24 19:13:53+00:00,620,"Philadelphia city officials have announced they intend to remove the statue of Christopher Columbus in Marconi Plaza, which Tuesday night attracted armed men that physically clashed with #BlackLivesMatter protesters. ",191
33,2020-06-24 18:37:12+00:00,33,my c/o ‘19 senior composite #BlackLivesMatter ,5
34,2020-06-24 18:35:24+00:00,146,"On the eve of the one month anniversary of the death of George Floyd, I’d like to share a video I made documenting the events, both violent and unifying, that took place in Washington D.C. #ThisIsAmerica #BlackLivesMatter full video here: https://www.youtube.com/watch?v=WVQGVlWAf2o",84
35,2020-06-24 18:30:10+00:00,16,I saw this protester on a corner today all by himself and it made my day #blacklivesmatter #protests,2
36,2020-06-24 18:03:05+00:00,2,Black lives Matter The result vs. The not so process #BlackLivesMatter #BlackLivesMattters #BlackLivesMattterUK,2
37,2020-06-24 17:47:31+00:00,2205,"This is my cousin who was mysteriously BEHEADED at Waste Management in Tunica, Mississippi on June 9, 2020. Neither the Police Department or Waste Management have been willing to give our family any info regarding his death. #SayHisName #JusticeForJimmy #BlackLivesMatter ",2680
38,2020-06-24 17:23:02+00:00,1599,Join our fight against voter suppression. http://morethanavote.org @morethanavote #BlackLivesMatter ,375
39,2020-06-24 23:51:05+00:00,0,fuck this whiteboard shit #BlackLivesMatter pic.twitter.com/yJj7beEPNx,0
40,2020-06-24 23:16:37+00:00,4,"All Little Girls needs Fathers, and Black Girls need Fathers too. #BlackGirls #BlackCulture #BlackArt #BlackLivesMatter #BlackFathers #BlackGirlMagic #BlackMenRock #StopKillingUs #PoliceReform",7
41,2020-06-24 23:07:04+00:00,3,"""The Times They Are A Changing."" #charleston9 #TakeAKnee #BlackLivesMatter ",1
42,2020-06-24 22:51:59+00:00,752,You know what would be even cooler than Jenny Slate’s decision to leave her role in Big Mouth? Arresting the cops who murdered Elijah McClain and Breonna Taylor. That would be a great way to kick off the summer. #BlackLivesMatter,129
43,2020-06-24 21:30:00+00:00,652,"Today, tomorrow & every single day after that. #blacklivesmatter ",33
44,2020-06-24 21:28:20+00:00,874,Spotted in Midtown...one woman with one message: #blacklivesmatter ,202
45,2020-06-24 21:12:49+00:00,3,SAY HIS NAME 18 years old UNARMED Mouhamed Cisse was SHOT and KILLED BY THE POLICE. He was shot in front of his OWN RESIDENCE. His story has 0 (media) coverage. ANOTHER UNARMED BLACK MAN WAS SHOT AND KILLED BY THE POLICE #JusticeForMouhamedCisse #BlackLivesMatter,3
46,2020-06-24 21:01:57+00:00,205,wouldn’t it just be horrible if we made fake facebook accounts and tricked the conservatives into doing an economic blackout with us.. #blm #BlackLivesMatter #themannywillnotbetelevised,37
47,2020-06-24 20:49:56+00:00,3,Oh my goodness she is super pretty #BlackLivesMatter pic.twitter.com/ZHpAdHmlZq,0
48,2020-06-24 20:27:40+00:00,218,"PROVE #BlackLivesMatter to Hollywood! Grateful to be in partnership with @kendrick38 &amp; @bldpwr, who brought 300+ Black Hollywood leaders to align with @blmlosangeles @blklivesmatter &amp; @Mvmnt4BlkLives. Letter: http://www.BLDPWR.com. #Hollywood4BlackLives #DefundThePolice",79
