,Datetime,Favorites,Text,Retweets
0,2020-06-29 23:59:58+00:00,1062,"We have not seen ANY outbreaks tied to protests. This includes the re-opening protests (want to get a hair cut) and the #BlackLivesMatter protests (want to not die). We have seen them tied to bars, restaurants, house parties, offices, social clubs and other related activities.",294
1,2020-06-29 23:23:03+00:00,106206,"A reminder that #TamirRice was killed for having a toy gun, while #PatriciaMcCloskey pointed a gun at peaceful protesters with her hand ON the trigger &amp; is still practicing law + sits on the Missouri Bar Association’s ethics panel. #BlackLivesMatter #Racist #America",59269
2,2020-06-29 23:16:06+00:00,17,Chief Dugan has been terrorizing & lying within the Tampa community for years. He has a part in every instance of brutality. He’s currently covering up Jonas Joseph’s MURDER. Sign and share this petition now!! #TampaProtest #TampaProtests #BlackLivesMatter ,19
3,2020-06-29 23:08:10+00:00,1484,Larry Elder Rips Black Lives Matter: ‘All About Transferring Property From White People To Black People’ https://dailycaller.com/2020/06/22/larry-elder-black-lives-matter-reparations/ #BlackLivesMatter⁠ ⁠ #Reparations,544
4,2020-06-29 22:51:47+00:00,41,"CHAZ ""Security"" have now killed more black people this year than Seattle Police. #BlackLivesMatter",19
5,2020-06-29 22:48:18+00:00,106,Leaving this here. #BlackLivesMatter ,39
6,2020-06-29 22:39:14+00:00,1416,"Dan Crenshaw tried to blame #BlackLivesMatter protestors for the coronavirus spike in Texas. Rep. Crenshaw ""represents"" one of the most gerrymandered districts in the country. We can have better representatives in Congress if we fix the maps in 2021. ",426
7,2020-06-29 22:22:59+00:00,41,"Erykah Badu by me, it took me 8h.. and remind that #BlackLivesMatter ",18
8,2020-06-29 21:41:45+00:00,955,#BlackLivesMatter: Cops in Riot Gear Stormed a Violin Vigil for Elijah McClain ,477
9,2020-06-29 21:15:41+00:00,9,"Finger on the trigger, pointing a firearm at #BlackLivesMatter protesters. How is Patty McCloskey not been arrested? Oh right... she's rich and white. #RichWhitePrivilege pic.twitter.com/644zHHbUKS",3
10,2020-06-29 21:07:23+00:00,5422,Just a reminder. @socialistcam put out this statement over a week ago. And #BlackLivesMatter is not just a moment. It is a world wide movement for racial justice ,1592
11,2020-06-29 21:04:32+00:00,790,".@ewarren five years ago was on record, in detail articulating why #BlackLivesMatter - for those of us keeping receipts. ",256
12,2020-06-29 21:00:30+00:00,16699,Last Night I found a Noose in my house! I’m calling on the FBI #BlackLivesMatter &amp; Al Sharpton ,4091
13,2020-06-29 19:19:54+00:00,1161,"https://www.nytimes.com/2020/06/29/opinion/letters/confederacy-black-descendants.html?smid=nytcore-ios-share This is one of the proudest, most moving things in writing life so far. Thank you, thank you, folks who write to the editor, and thank you, thank you @nytimes and @nytopinion for compiling/publishing. #blacklivesmatter #mybodyisamonument",262
14,2020-06-29 18:58:06+00:00,19,We know that #WhitePrivilege exists. But how can you use that for good? Here’s a great example. #BlackLivesMatter ,6
