,Datetime,Favorites,Text,Retweets
0,2020-06-26 23:59:53+00:00,99,About Black Lives #DrewComments #KamalaHarris #GeorgeFloyd #BreonnaTaylor #DavidMcAtee #AhmaudArbery #RayshardBrooks #BlackLivesMatter ,36
1,2020-06-26 23:43:33+00:00,3920,Black lives matter. We should be saying it all the time. That’s all. #BlackLivesMatter,702
2,2020-06-26 22:25:41+00:00,5,MEME BTS BR kkkkk #bts #meme #BlackLivesMatter ,1
3,2020-06-26 22:11:13+00:00,13117,"People do realize that #BlackLivesMatter is setting race relations back about 100 years, right?",4260
4,2020-06-26 21:57:45+00:00,32,Strawberry Cow says #BlackLivesMatter and wear your fucking masks pic.twitter.com/dMjD7j4MsD,9
5,2020-06-26 20:57:13+00:00,1,Hydrating Body Lotion made with Shea and Avocado! #FridayFeeling #BlackLivesMatter #blackbusiness,0
6,2020-06-26 20:05:49+00:00,51,Who is this hateful women? Don’t anyone say she’s a psycho who needs meds... This women is a proud racist-bigot who made this video for clout! #BlackLivesMatter #Racist #Karenchronicles,27
7,2020-06-26 20:04:27+00:00,523,BREAKING: 400+ Jewish Orgs are rising against efforts to smear the current day Civil Rights movement and divide us. We say in one voice #BlackLivesMatter. Freedom and safety for any of us depends on the freedom and safety of all of us. #JewsforBlackLives,267
8,2020-06-26 19:58:23+00:00,8,Don't forget #BlackLivesMatter ,1
9,2020-06-26 19:49:38+00:00,1188,"Even if it's not on your Twitter feed right now, don't forget that #BlackLivesMatter! ",472
10,2020-06-26 19:44:53+00:00,2705,"It is so cruel and unjust, such an indictment on America and this nation’s history and present, that #ElijahMcClain is dead. It shouldn’t even have taken 2 million signatures for his death to be “reexamined.” Truth is, the police shouldn’t have killed him. #BlackLivesMatter ",1175
11,2020-06-26 19:41:09+00:00,525,"Sen. Schumer and Speaker Nancy Pelosi are going to fight for Floyd Taylor, I mean George Taylor, I mean george Kirby. They really care about #BlackLivesMatter.",204
12,2020-06-26 19:15:06+00:00,202,"“Our lives begin to end the day we become silent about things that matter.” - Dr. Martin Luther King Jr. We proudly support our Black student-athletes, coaches, and staff. #BearDown #BlackLivesMatter ",62
13,2020-06-26 18:49:38+00:00,3353,The #BlackLivesMatter movement isn’t over just because you protested. The #BlackLivesMatter movement isn’t over just because you donated. The #BlackLivesMatter movement isn’t over just because you signed a petition. The #BlackLivesMatter movement is never over. KEEP GOING.,2686
14,2020-06-26 18:44:19+00:00,1666,All of these companies saying #BlackLivesMatter but this is where true change happens...,635
15,2020-06-26 18:01:48+00:00,108,SKYWARD - JUNE 28 SET TIMES (PST+EST+GMT) Donate to #BlackLivesMatter and win prizes like official porter+madeon merch !!!! (more details linked below) ,42
16,2020-06-26 17:26:22+00:00,8,When you say #BlackLivesMatter you better be including EVERY black life. #blm #georgefloyd #pride #lgbt,3
17,2020-06-26 17:21:58+00:00,6,Please Retweet #BlackLivesMatter #BLMprotest,10
18,2020-06-26 17:07:37+00:00,166,"I don't swear much on Twitter, but this is such fucking vile behaviour from anyone, especially those whose job is ostensibly to protect the public. #BlackLivesMatter #JusticeForBibaaandNicole",91
19,2020-06-26 16:52:36+00:00,84,A week ago a protest against police took place during a #BlackLivesMatter protest in Glasgow. Protesters chanted: “ACAB: All Cops Are Bastards”. Barely a week later a police officer is seriously injured in same area trying to protect public against a murderous knife attacker. pic.twitter.com/SFSQ2dxrsJ,50
20,2020-06-26 23:40:07+00:00,29,"Anyways I walked out and won’t be returning to this job, it’s tolerance not support. Y’all “support” #BlackLivesMatter but told me either I take my pins off my hat or go home/ get sent home. It’s discrimination. ",19
21,2020-06-26 23:37:16+00:00,42,You guys are sickening and do not represent my club I am a chelsea fan and I believe that everyone should take the knee and understand the struggle that many black poeple across the world have had to go through just to be treated as equal. #BlackLivesMatter,1
22,2020-06-26 23:27:45+00:00,265,"San Jose cops—both retired and active-duty—mock Muslims, #BlackLivesMatter on Facebook. ",283
23,2020-06-26 21:57:25+00:00,33, HEY I'M DOING THIS !!!! DM me for your vewwy own Strawberry Shortcake character !! Gonna start off with 10 open slots just in case #BlackLivesMatter ,20
24,2020-06-26 21:40:03+00:00,3,“I can’t breathe” #blacklivesmatter ,1
25,2020-06-26 21:29:28+00:00,37,Couldn't have been me #BlackLivesMatter ,1
26,2020-06-26 20:36:44+00:00,215,"ATTENTION: 3 weeks ago, Bibaa Henry & her sister Nicole Smallman were murdered in Fryent Country Park after celebrating Bibaa’s birthday at a picnic. Please sign & share the petition, let’s get justice for Bibaa & Nicole #BlackLivesMatter #SayHerName http://chng.it/qGKYPSxfgF pic.twitter.com/3bH65mZvyH",335
27,2020-06-26 19:45:02+00:00,1,What an ugly girl. #BlackLivesMatter ,1
28,2020-06-26 19:44:49+00:00,155,The complicated history of Asian Americans in the U.S. includes both anti-Blackness and anti-racist solidarity. How we respond to #BlackLivesMatter now determines our future. I wrote about it for @TIME:,65
29,2020-06-26 19:11:52+00:00,1236,"My painting of these iconic ballerinas is now available as a charity print! http://alicexz.art/BLM All proceeds go to the girls, Ava &amp; Kennedy, and to a scholarship set up in their name with Brown Girls Do Ballet (to benefit black dancers b/w ages 6-16!) #BlackLivesMatter ",532
30,2020-06-26 18:51:11+00:00,60,#blacklivesmatter die-in demonstration and protest march going on now in downtown #Reno calling for justice for Miciah Lee and others killed by local police,20
31,2020-06-26 18:34:41+00:00,9,Just gonna put this here!... #BLMBako #DefundThePolice #defundnow #BlackLivesMatter ,6
32,2020-06-26 18:22:00+00:00,2209,A fresh star placed on the wall at First Ave here in Minneapolis. The Twin Cities will never forget. Let’s hope the conversations & education continues #blacklivesmatter ,486
33,2020-06-26 17:54:17+00:00,8, My life matters #BlackLivesMatter ,1
34,2020-06-26 17:30:06+00:00,79,Support Black workers at the Free Library of Philadelphia. We're tired of all the wytes talking.... #BlackLivesMatter ,39
35,2020-06-26 17:00:01+00:00,113,"When you're building your #BlackLivesMatter reading lists, don't neglect poetry. ",50
36,2020-06-26 16:41:39+00:00,111,"Today's #DafonteMiller case reminds me of the words of @4noura, ""WE DO NOT NEED TO BE PERFECT TO BE DESERVING OF JUSTICE"" #BlackLivesMatter",41
37,2020-06-26 16:36:01+00:00,590,"This is important and covers what I believe to be retaliation against the #BlackLivesMatter movement and the MSM is failing to give it proper coverage. I have made the article available to the public, so please help me by re-tweeting this far and wide. ",536
38,2020-06-26 16:29:15+00:00,9,Sometimes the curls just work #natural #BlackLivesMatter ,0
39,2020-06-26 16:26:41+00:00,1249,"Another day, another myth debunked. Get the facts. #blacklivesmatter ",360
