,Datetime,Favorites,Text,Retweets
0,2020-06-19 23:59:49+00:00,127,#BlackLivesMatter Juneteenth ,7
1,2020-06-19 23:58:51+00:00,31,"As we honor #Juneteenth we also acknowledge the painful past &amp; celebrate how far the country has come It’s also a reminder of how many injustices still exist &amp; how many things MUST change But today is for celebration Tomorrow, it’s back to work #BlackLivesMatter ",17
2,2020-06-19 23:58:43+00:00,28,“ Justice is what love looks like in public. Love and justinceare not identical but they are indivisible “ Cornel West These words are so powerful #JUNETEENTH #ONEV1 #BlackLivesMatter ,21
3,2020-06-19 23:58:40+00:00,3977,As part of the #StrikeForBlackLives #JUNETEENTH2020 protests ILWU dockworkers went on strike at all West Coast ports. In Oakland thousands marched from the port (video @ABC7Shack) #BlackLivesMatter ,2541
4,2020-06-19 23:57:45+00:00,989,"I came to this country #undocumented many years ago. Now I'm a citizen, and this November I will #VoteBlue to help @JoeBiden kick RACIST @realDonaldTrump out of the @WhiteHouse #VoteBlueToSaveAmerica #BlackLivesMatter #LockHimUp http://nestorgomezstoryteller.com/video.html",57
5,2020-06-19 23:56:19+00:00,109,man.... it's hollow when people say it without backing it up with any action or donation or change or self-education.... but to not even be willing to say #BlackLivesMatter is truly a sickness ,23
6,2020-06-19 23:53:55+00:00,32,"That’s a wrap on day 1. Our speakers and the team knocked it out of the park. Day 2 is a victory lap. Come back for @techgirl1908 ‘s keynote, The #BlackLivesMatter town hall, even more amazing speakers, and @DThompsonDev shares the stage with #100DaysOfCode community members.",17
7,2020-06-19 23:49:49+00:00,240,Your guilt is never useful. Only your solidarity. #BlackLivesMatter Get over to Facebook and watch #BlackQueerTownHall. Thank you to @Peppermint247 and @thatonequeen for organizing this event and @MsIsisKing @TheMrMilan and @TheBasitShow Watch and learn to do better.,77
8,2020-06-19 23:49:31+00:00,127,WAKE THE FUCK UP HUNTINGTON BEACH. #BlackLivesMatter pic.twitter.com/mJdT0vMwvD,6
9,2020-06-19 23:48:42+00:00,10189,"Losing followers every time I tweet about #BlackLivesMatter or #DefundThePolice. Good riddance Who else wants to leave? I’m a doctor, don’t expect me to stay quiet about public health issues.",649
10,2020-06-19 23:48:28+00:00,29,"In honor of #Juneteenth I decided to share my criticism of Amerikkka. @KAYTRANADA on the production. As I looked for the words to reflect the times, I FORGOT I wrote this 3 years ago. And it’s still as relevant as can be #BlackLivesMatter ",12
11,2020-06-19 23:45:28+00:00,58,Huge crowd demonstrating #columbuscircle #BlackLivesMatter #GeorgeFloydprotest,28
12,2020-06-19 23:44:28+00:00,7642,Black Lives Waiting. The fight continues. #BlackLivesMatter #Juneteenth,2616
13,2020-06-19 23:43:36+00:00,101,Thousands and thousands of people in the streets of NYC. Proud to be among them from BK Bridge to Grand Army to Barclays to City Hall. We BK + NY! #BlackLivesMatter #juneteeth #indivisible #SayTheirNames,36
14,2020-06-19 23:42:23+00:00,95,We took the motherfuckin streets in Austin again #BlackLivesMatter pic.twitter.com/NGlm76sOlh,15
15,2020-06-19 23:41:22+00:00,40,What could be more Boston than a bunch of racists from Southie and Dorchester showing up to protest the end of slavery? #JUNETEENTH2020 #JuneteenthDay #BlackLivesMatter ,16
16,2020-06-19 23:40:39+00:00,71,#BradleyBeal shared today that he was pulled over for no reason by the police two years ago on the beltway and the cop asked him “How would you like it if I f%{ked up your day and put you in a headlock” Athletes are not immune to police terrorism #BlackLivesMatter ,20
17,2020-06-19 23:38:48+00:00,103,“One of the most amazing things that #BlackLivesMatter has brought to England is racial consciousness” @csdanger on the BLM riots,45
18,2020-06-19 23:37:50+00:00,375,Headed into Columbus Circle #JuneteenthDay #BlackLivesMatter ,102
19,2020-06-19 23:37:03+00:00,86,RT'ing cuz a lot of folks have asked where I got the mask. @lumencouture https://lumen-couture.myshopify.com/collections/all?page=2 #BlackLivesMatter #Pride #WearAMask,28
20,2020-06-19 23:58:51+00:00,13,At a #blacklivesmatter protest in ponce de Leon and Monroe. Man got out of his car with an AR-15. Shots fired on both sides. Car drove off. Serious #gunfire. Car ran over someone.,21
21,2020-06-19 23:58:47+00:00,36,Don’t say #BlackLivesMatter if you aren’t willing to fight for all of us! Happy #JUNETEENTH2020 ,9
22,2020-06-19 23:58:23+00:00,30,To think @hiyakaiya just turned 22 (!!) last month and already has a stronger sense of how to use her platform for good than most of her colleagues. This woman will never be a “shut up and dribble” athlete and thank heavens for that. #BlackLivesMatter ,4
23,2020-06-19 23:57:11+00:00,19,"This #Juneteenth, to stand in solidarity with our Mutupo fam in America and support the #blacklivesmatter movement we are releasing our #BLM support tee featuring the revolution's logo holding Moyo, symbolising black lives across America and the world over.",24
24,2020-06-19 23:56:55+00:00,25,"Happening Now: A #BlackLivesMatter rally is starting bear Sahara &amp; Maryland Pkwy. Today’s event is being held to honor #Juneteenth, and the Black community says this year is especially significant. @8NewsNow #8NN",12
25,2020-06-19 23:56:28+00:00,34,Never been in a bigger march in #Hartford. Thousands #BlackLivesMatter #JUNETEENTH2020,12
26,2020-06-19 23:55:25+00:00,31,"If this was a black man at a #BlackLivesMatter protest, the police would be all over him!! ",19
27,2020-06-19 23:52:31+00:00,20,"So ppl are just now finding out about Rosewood & Tulsa. Let this be the beginning of your historical journey. Learn about the Red Summer of 1919 (riots in DC, GA, IL, MD, NB, TX, NC, KY) the East St. Louis Massacre of 1917, etc. We've been screaming for years. #BlackLivesMatter",11
28,2020-06-19 23:52:21+00:00,76,Who controls the black agenda? #powernomics #b1 #BlackLivesMatter #blackwealth #protests2020,30
29,2020-06-19 23:48:58+00:00,63,New addition to @ASH_hematology HQ! Proud to work for an org that believes #BlackLivesMatter and provides holiday time for staff to learn and reflect on #JUNETEENTH2020.,3
30,2020-06-19 23:47:48+00:00,34,This Match Matters @TreLaMar_ &amp; @apexofcombat by @WCWMouse3911 &amp; Midwest Trash Photography (on IG) #gcw #HappyJuneteenth #JuneteenthDay #junteenth #blm #BlackLivesMatter ,9
31,2020-06-19 23:46:00+00:00,40,"#JUNETEENTH2020 celebration right now in #Harlem, #mardigras style! #BlackLivesMatter #NYC – at Central Park",5
32,2020-06-19 23:45:20+00:00,18,Proud of the over 30 Chicago healthcare organizations who banded together to take action on systemic racism in healthcare on #Juneteenth https://www.newswise.com/articles/chicago-healthcare-organizations-band-together-to-take-action-on-systemic-racism-in-healthcare?ta=home #BlackLivesMatter #whitecoatsforblacklives,10
33,2020-06-19 23:45:00+00:00,54,#BlackLivesMatter mural appears on the Atlanta BeltLine overnight: http://2wsb.tv/2V2n3O9,15
34,2020-06-19 23:44:32+00:00,24,We won!!! SC judge in Meck County upheld rights of protestors in Charlotte with a temporary restraining order against police!!! #Juneteenth #BlackLivesMatter @cltuprising https://lawyerscommittee.org/wp-content/uploads/2020/06/TRO-NAACP.pdf,3
35,2020-06-19 23:41:19+00:00,61,I know this and other murals are just a symbol of what more needs to be done but.. this is the dopest. Cincy black artists going all in. #BlackLivesMatter ,5
36,2020-06-19 23:37:44+00:00,78,I'm about to enter the chat!#BlackLivesMatter #BlackQueerTownHall https://m.facebook.com/story.php?story_fbid=10158485179939059&amp;id=32162359058&amp;sfnsn=mo,4
37,2020-06-19 23:37:28+00:00,30,Brooklyn is busy today. Love the solidarity. #BlackLivesMatter ,8
38,2020-06-19 23:37:10+00:00,18,"My cousin doesn’t have Twitter, BUT she has shirts Any retweets or purchases are appreciated Instagram: @craftsbymeesh_ #Juneteenth #BlackLivesMatter #BlackOwned",19
39,2020-06-19 23:34:41+00:00,44,VP Pence refuses to say black lives matter on Juneteenth. I will say it for him: Black lives matter. Louder for those in the back? BLACK. LIVES. MATTER. Rights and dignity aren’t pie. More for some does not mean less for others #BlackLivesMatter ,6
40,2020-06-19 23:34:05+00:00,214,"Once again, drivers out of the cars, cheering on the protestors crossing the Brooklyn Bridge. #Blacklivesmatter ",55
41,2020-06-19 23:34:02+00:00,27,Omg!!!! This is absolutely fantastic! #BlackLivesMatter ,19
42,2020-06-19 23:33:32+00:00,386,Wow! This was today's #Juneteenth rally at the Port of Oakland. #BlackLivesMatter ,166
43,2020-06-19 23:31:28+00:00,715,"All includes black lives...maybe it doesn’t to #CNN, but any logical person knows #AllLivesMatter includes #BlackLivesMatter.",40
44,2020-06-19 23:30:04+00:00,51,"With an initial goal of raising $1,000, an event organized by @UCSBWomenSoccer player Evann Smith and a handful of college athletes raised almost $80,000 for #BlackLivesMatter and drew participation from more than 200 schools. | via @UCSBgauchos",15
45,2020-06-19 23:26:59+00:00,276,Ready for the march. #MadisonWI #BlackLivesMatter #DefundPolice #FreeEmAll #PleasureActivism,9
46,2020-06-19 23:26:44+00:00,607,"The problems with ""All Lives Matter"" - deny's the reality of racism - dismisses the need to fight discrimination - dismisses the pain of those harmed by racism #BlackLivesMatter",96
47,2020-06-19 23:23:22+00:00,1129,"Saying ""All Lives Matter"" is a racist's way of denying that #BlackLivesMatter.",110
48,2020-06-19 23:22:58+00:00,609,"#BlackLivesMatter #TheResistance Mitch, the sheer amount of hypocrisy emanating from your statement, is piled so high you need wings to stay above it! #VoteOutTheGOP #VoteOutHate #DumpTrump #DitchMitch",173
49,2020-06-19 23:22:23+00:00,1325,Pence won't say #BlackLivesMatter because: 1) He doesn't believe there is racism 2) He needs to pander to his racist supporters 3) He must preserve White Supremacy 4) He must please his Master (Donald) That just about explains it.,189
50,2020-06-19 23:21:36+00:00,49,Getting ready to march in Bloomington. @mnsenate it’s time for you to pass the @DFLPOCIcaucus priorities for police reform. I am not afraid of marches or protests. I am afraid you won’t do your job. #LetMeSpeak #imasuburbanmom #mnleg #BlackLivesMatter ,13
51,2020-06-19 23:21:34+00:00,30,(Juneteenth Preview) Willie Lynch- A George Floyd Tribute Written by- HussleLou ARREST THE COPS WHO KILLED BREONNA TAYLOR We do not fight for peace.. We fight for tomorrow to be better than today!If not now then when? If not us then who? DON’T LET UP!! #BlackLivesMatter ,28
52,2020-06-19 23:21:27+00:00,168,"Staten Island is celebrating #Juneteenth by renaming a street outside a local police precinct ""Black Lives Matter Plaza."" Members of the community have also painted a #BlackLivesMatter street mural. It's the second such mural in NYC. ",36
53,2020-06-19 23:21:06+00:00,27,#BlackLivesMatter founders have confirmed they are Marxists seeking to bring about the fall of capitalism. Supported by The Premiership and the BBC. #TakeTheKnee,13
54,2020-06-19 23:19:40+00:00,32,Turning onto Martin Luther King Jr. Blvd chanting #BlackLivesMatter on #Juneteenth. Demonstrator holding a sign saying Juneteenth should be a national holiday. @nbc4i,13
55,2020-06-19 23:18:16+00:00,53,the youth did this! I did this! Thank you to all the adult allies and safety support. this fight is not over. #BlackLivesMatter #PoliceFreeSchools,18
56,2020-06-19 23:17:55+00:00,51,Calling @SouthwarkCofE to 2 Minutes Silent Prayer at 11am Monday 22nd June Windrush Day #BlackLivesMatter ,28
57,2020-06-19 23:17:26+00:00,45,"Every time @MiamiMayor says he supports #BlackLivesMatter, just remember that he's been a staunch supporter of the #Miami FOP police union for his entire political career. Now they're raising money for Atlanta's worst killer cop.",45
58,2020-06-19 23:17:13+00:00,73,"Happy Juneteenth from 10,000 Seattleites marching for social justice #Juneteenth #seattleprotests #blacklivesmatter #equitynow",28
59,2020-06-19 23:14:13+00:00,73,Happy Juneteenth . #BlackLivesMatter #arrestthecopsthatkilledbreonnataylor,14
60,2020-06-19 23:11:38+00:00,255,"Goodnight, We will leave you with this powerful image from @NathanRedmond22 and shows why this movement is very important. #SaintsFC #BlackLivesMatter ",14
61,2020-06-19 23:08:51+00:00,270,Rally going on in Ida B. Wells Plaza right now. THE PLAZA BELONGS TO THE PEOPLE @GovBillLee #FreeCapitolHillTN #BlackLivesMatter #Juneteenth,69
62,2020-06-19 23:08:18+00:00,74,This is the scene in Oakland at the #JUNETEENTH2020 march. #BlackLivesMatter #JuneteenthDay,47
63,2020-06-19 23:06:40+00:00,273,"Today, Black Americans celebrate 155 years of freedom. On June 19, 1865, the last forcibly enslaved Americans were freed—but the fight for justice is not over. #Juneteenth #BlackLivesMatter",64
64,2020-06-19 23:05:25+00:00,56,We can have accountability without police. Now is the time to replace the assassination squads and move towards communities that are a village. All for one and one for all #WeKeepUsSafe #DecrimNow #SheSafeWeSafe #BlackLivesMatter #BlackTransLivesMatter,25
