,Datetime,Favorites,Text,Retweets
0,2020-06-15 23:59:43+00:00,10516,"“Negroes are raging all over the place in their country. Should we get involved?” Russian state TV host. According to data, Russian intelligence operatives are attempting to incite violence by white supremacist groups. #blacklivesmatter ",2282
1,2020-06-15 23:59:31+00:00,439,“A chokehold is a lynching” - ⁦@SpeakerPelosi⁩ is clear about banning this deadly practice as part of bold transformative changes for public safety. #JusticeInPolicing #BlackLivesMatter #JusticeForGeorgeFloyd,109
2,2020-06-15 23:59:13+00:00,6992,"To Be Silent is To Be Complicit #BlackLivesMatter (feat. @theleoanderson, @dahlianicole_, @ibterrence97, &amp; JayIsJo)",1745
3,2020-06-15 23:55:34+00:00,113,Trump & Pompeo were furious when they learned that the US Embassy in Seoul was flying a pride flag and a #BLM flag The embassy was forced to take both down Trump and his ilk are pure evil #VoteBidenToSaveAmerica #BlackLivesMatter This is what 45 didn’t want us to see ,81
4,2020-06-15 23:50:53+00:00,115,"Ok I haven’t seen y’all posting petitions and gofundme’s today what’s the deal !? Don’t let the drama distract you, we still gotta keep #BlackLivesMatter alive !!!",23
5,2020-06-15 23:49:06+00:00,152,"Portland, Oregon // June 2nd, 2020 #BlackLivesMatter ",50
6,2020-06-15 23:48:27+00:00,1751,“Burn them all” Grafitti everywhere in the Seattle BLM “autonomous zone” calls for the murder of police. #antifa #BlackLivesMatter ,1224
7,2020-06-15 23:47:19+00:00,192,"18,606,853 plus Black babies have been murdered by abortion in the U.S. since Roe v. Wade 1973. Why don’t their lives matter? #BlackLivesMatter 1,847 babies all races murdered today 394,263 plus babies murdered this year #AllLivesMatter @ProLife",190
8,2020-06-15 23:45:24+00:00,923,"Here’s our fifth city, Nashville! If you would like to donate, please click on this link: https://paypal.me/pools/c/8pYB9toFQW #BlackLivesMatter https://twitter.com/haruharu_w_bts/status/1268121219498311680",166
9,2020-06-15 23:44:11+00:00,86,.@rickonia got the green light to throw a #BlackLivesMatter street art exhibit! Tag the most talented artists that you know in the city! Let’s help him find the best https://www.instagram.com/p/CBeXYbEjk_P/,45
10,2020-06-15 23:40:23+00:00,454,"This is my Department. My residents, my faculty, my Chair. Even some brand new Interns!!! Leadership matters #whatadoctorlookslike #BlackLivesMatter ",74
11,2020-06-15 23:39:41+00:00,346,Congratulations to @JustinTrudeau and the @liberal_party for thier impressive accomplishments in 2020. thanks you! #cdnpoli #democracy #covid19 #BLM #blacklivesmatter #Canada @cathmckenna @Bill_Morneau @billblair,163
12,2020-06-15 23:37:46+00:00,708,"Protesters have taken over the steps of City Hall in Richmond, VA!!! Speakers are now talking about the meaning behind “Defund the police” #BlackLivesMatter ",176
13,2020-06-15 23:36:50+00:00,47,Please help me get this out. No donations yet but I understand it’s not a great time but I’m a black non-binary sw with pets who needs some help please retweet. #onlyfans #BlackLivesMatter cashapp $reptileempress #BLM,54
14,2020-06-15 23:36:21+00:00,7623,PROTESTING. WORKS. #BLACKLIVESMATTER. ,1587
15,2020-06-15 23:34:19+00:00,246,The @PortlandPolice has terrorized people with rubber bullets and tear gas for weeks and now they're looking for peace and dialogue. If you want to heal your community you'd disband your whole fucking department immediately. #ACAB #BlackLivesMatter ,60
16,2020-06-15 23:31:38+00:00,153,Nobody said it’s gone be easy y’all #blacklivesmatter #passANTILYNCHINGlegislationnow,25
