,Datetime,Favorites,Text
0,2020-06-10 23:59:45+00:00,132,Just a reminder: Stay the course #BlackLivesMatter 
1,2020-06-10 23:59:44+00:00,2275,Be The Change. #BlackLivesMatter 
2,2020-06-10 23:44:07+00:00,6,"@tedfrank Hey bro, we tired of seeing these racists pretend to care, and then support yale NAMED AFTER A SLAVE TRADER... we need action, not some BS from yale about how we should forget about their racism #renameyale #BlackLivesMatter http://change.org/renameyale Lets get it signed"
3,2020-06-10 23:05:54+00:00,376,They announced that they are not opening #KendrickJohnson case. His ORGANS were missing. He was STUFFED with news papers and they ruled it a suicide. We gotta TURN IT BACK UP YALL. We can’t let this happen.. #BlackLivesMatter 
4,2020-06-10 22:59:33+00:00,19,"""People of Seattle"" didn't do anything. a handful of teenagers with impulse control did. They already ran out of food, once power and water are cut, they will have to drink their own pee. This is the biggest joke since the start of the #BLM #BlackLivesMatter protests started"
5,2020-06-10 22:59:28+00:00,755,"Scott Morrison: ""There was no slavery in Australia"" What does he think the chains were for, PPE? #BlackLivesMatter #ScottyFromMarketing #Grub"
6,2020-06-10 22:53:13+00:00,22,"Not my words. My sentiment. #blackfathersmatter #DemocratsAreDestroyingAmerica #DemocratsTheEnemyWithin #AntifaTerrorists #GeorgeFloyd #RiotersAreNotProtesters #riots2020 the #protests are not #peaceful. #AllLivesMatter, because #BlackLivesMatter is a racist joke. @RAZ0RFIST"
7,2020-06-10 22:49:00+00:00,4895,"Non-Black folks, especially white folks, please watch every single second of this video. Please give it, and Kimberly Jones, your full attention. #BlackLivesMatter "
8,2020-06-10 22:48:51+00:00,28,"hello!!! i'm currently taking commissions for #BlackLivesMatter donations! dm me for inquiries or retweet to boost, anything helps! thank you! "
9,2020-06-10 22:46:27+00:00,42,"Sorry, we only like Winners! #Ionlylikewinners #BlackLivesMatter "
10,2020-06-10 22:40:26+00:00,3371,"This is the third Columbus statue that was toppled/damaged in last 24 hours by #BlackLivesMatter protestors. Other two were in Richmond, VA &amp; Boston, MA"
