,Datetime,Favorites,Text
0,2020-06-07 23:55:34+00:00,49,TL sleep? #blacklivesmatter 
1,2020-06-07 23:52:27+00:00,23,God doesn't like ugly. #ImWithYou #BlackLivesMatter 
2,2020-06-07 23:47:33+00:00,380,"You can feel the energy in this video. Smithtown Long Island, NY protest.. in 2020 #BlackLivesMatter "
3,2020-06-07 23:44:11+00:00,3051,Isn’t this the best sign? #BlackLivesMatter 
4,2020-06-07 23:42:01+00:00,236,I speak for many when I say we are Proud Montrealers!! #MontrealProtest #BlackLivesMatter #Protests2020
5,2020-06-07 23:37:05+00:00,392,Glendale coming through. #blacklivesmatter – at Glendale City Hall
6,2020-06-07 23:33:42+00:00,171,This is what people power looks like — #BostonProtests #BlackLivesMatter 
7,2020-06-07 23:31:42+00:00,57,Thousands take a knee outside of Ruggles in Boston to protest police brutality #BlackLivesMatter #Boston #BostonProtests
8,2020-06-07 23:22:13+00:00,1169,"The latest HYPOCRISY in Nigeria is when #BlackLivesMatter in America but does NOT matter in NIGERIA, especially when it comes to #Igbos, #Jews &amp; #IPOB killed by Nigeria’s security forces &amp; #Christians killed by TERRORISTS that are as soon labeled ‘repentant’ &amp; PARDONED."
9,2020-06-07 23:18:19+00:00,10,we just want to be heard #BlackLivesMatter 
10,2020-06-07 23:14:11+00:00,1641,“Amazing Grace” at #BlackLivesMatter rally in downtown Auburn. – at Toomer's Corner
11,2020-06-07 23:09:19+00:00,304,teaching my babies to love the skin they’re in #BlackIsBeautiful #BlackLivesMatter 
12,2020-06-07 23:06:56+00:00,3426,Hawaii’s way of showing our love and support through a paddle out #BlackLivesMatter 
13,2020-06-07 23:05:03+00:00,90,My best friend marched yesterday and saw this sign #BlackLivesMatter 
14,2020-06-07 23:00:25+00:00,6544,David Dorn had 10 Grandchildren David Dorn was Innocent David Didn’t Commit a Crime David Dorn tried to Protect others David Dorn was Attacked David Dorn was Shot David Dorn Couldn’t Breath David Dorn was Murdered #BlackLivesMatter #DavidDornslifeMattered TOO
15,2020-06-07 22:57:46+00:00,129,WE WONT STOP UNTIL WHITE PRIVILEGE DOESNT EXIST ANYMORE #blm #blacklivesmatter 
16,2020-06-07 22:49:04+00:00,1912,"Cracker Barrel, Pell City, Alabama (If you dont know the history of this area look it up) A black man walks to table of 4 police. Thanked them for their serivce and paid for their meals. Officers stood and shook his hand. #BlackLivesMatter #GeorgeFloyd #MAGA"
17,2020-06-07 22:48:57+00:00,21,Justin Bieber is NOT excluded when it comes to RACIST remarks and jokes smh #BlackLivesMatter 
18,2020-06-07 22:48:20+00:00,13803,Whoa. Othello Park right now. South Seattle standing together for Black lives and to end violence! #blacklivesmatter 
19,2020-06-07 22:41:39+00:00,48,Here’s my Black Panther . #MichaelJordan #Anonymous #BlackLivesMatter 
20,2020-06-07 23:58:02+00:00,121,Proud of our community today. #BlackLivesMatter 
21,2020-06-07 23:57:52+00:00,8,Some photos from today's march in #Havertown. #BlackLivesMatter #BLM
22,2020-06-07 23:57:05+00:00,12,"Liberty, Kentucky #BlackLivesMatter "
23,2020-06-07 23:56:23+00:00,13,“Social Witnessing” #Blacklivesmatter 
24,2020-06-07 23:56:12+00:00,207,we stand together we love together we fight together will all get through this together #blacklivesmatter #gaypride
25,2020-06-07 23:55:21+00:00,32,A good explanation. #BlackLivesMatter 
