,Datetime,Favorites,Text
0,2020-06-06 23:47:09+00:00,133,Thought I’d put some Black Girl Magic on the timeline once again #BlackLivesMatter #blackwomenlivesmatter
1,2020-06-06 23:45:33+00:00,81378,#BTS And Big Hit Donate $1 Million To #BlackLivesMatter https://www.soompi.com/article/1405175wpp/bts-and-big-hit-donate-1-million-to-black-lives-matter
2,2020-06-06 23:43:01+00:00,418,"Protesters singing and dancing ""Formation"" in protests against police brutality, in Atlanta. #BlackLivesMatter "
3,2020-06-06 23:42:09+00:00,108,we decide the new normal #blacklivesmatter 
4,2020-06-06 23:40:37+00:00,1379,"I am proud to be a United States Marine. Semper Fi, brothers and sisters. #BlackLivesMatter "
5,2020-06-06 23:39:29+00:00,812,Salute to Team #NTVDanceParty. Thank you DJs for the music. Thank you Presenters for the Vibe. Thank you Fans for the Support Thank you Team for the Theme #BlackLivesMatter Until next weekend 
6,2020-06-06 23:36:55+00:00,555,they arrested a lot of black people tonight in Berlin. SHARE THIS ! #blacklivesmatterberlin #BlackLivesMatter 
7,2020-06-06 23:36:15+00:00,1414,"Michael B. Jordan at the #BlackLivesMatter protest in Beverly Hills, California (June 6, 2020) "
8,2020-06-06 23:29:19+00:00,110,"In a world full of “All Lives Matter” people, be an Ellen Pompeo #BlackLivesMatter "
9,2020-06-06 23:27:08+00:00,19719,#BlackLivesMatter omg - this wins the internet today this is the america i wanna live in 
10,2020-06-06 23:26:14+00:00,3292,Wow. This is powerful. This is brave. This is CHANGE! #Philly #BlackLivesMatter 
11,2020-06-06 23:20:28+00:00,314,"Together we stand for justice, and what is right for our people! #blacklivesmatter #nojusticenopeace #OGxDPhi – at Governor's Mansion"
12,2020-06-06 23:16:08+00:00,52,"i can’t fit everything i want to say into a tweet, so read the photo below please! here’s the link! #BlackLivesMatter https://docs.google.com/document/d/1bIzoK49zXDlVQtefmYsdt5vJyQIAb0OBXhZVm77JQaI"
13,2020-06-06 23:15:01+00:00,365,Say their names. #BlackLivesMatter 
14,2020-06-06 23:11:08+00:00,1147,"With the racist response coming out of Russia to #BlackLivesMatter, let’s honour the African ancestry of its greatest poet, Pushkin, who was born on this day in 1799. On the right: his great-grandfather, Abram Gannibal, who was abducted as a child from present-day Cameroon "
15,2020-06-06 23:08:10+00:00,8471,RETWEET if you are white and you support #BlackLivesMatter and if you do thank you
16,2020-06-06 23:07:12+00:00,152,"The small town, North Plains, OR, near where I grew up, hosted what is believed to be the first ever protest in the city’s history yesterday. #blacklivesmatter @Oregonian"
