,Datetime,Favorites,Text
0,2020-05-26 23:53:35+00:00,103898,They Going Crazy In Minneapolis Rn #ICantBreathe #GeorgeFloyd #BlackLivesMatter 
1,2020-05-26 23:51:52+00:00,194,George Floyd. Say his name. Remember his name. Remember his face. Share this image courtesy of @andresitoguzma. #justiceforfloyd #blacklivesmatter 
2,2020-05-26 23:45:18+00:00,328,"Seeing a video of an officer who press his knee on a black man's neck for over 5mins till he lost his breathe is the worst thing I saw today,This got me in questioning if Blacks ain’t humans? this kinda murder is total wrong on any lvl of crime he committed. #blacklivesmatter "
3,2020-05-26 23:45:00+00:00,865,"#BlackLivesMatter #BlackLivesMatter #BlackLivesMatter If you disagree or feel the need to modify, fucking unfollow me."
4,2020-05-26 23:43:47+00:00,1080,Can’t even close my eyes to sleep without imagining someone’s Knees on my neck for over 8 minutes #blacklivesmatter
5,2020-05-26 23:40:51+00:00,391,"Despite the #MinneapolisPolice incident, the Biden campaign is still going to pick Amy Klobuchar, who has a horrific record regarding criminal justice #BlackLivesMatter even asked her to drop out The Biden campaign won't care because he knows he has black voters by the balls"
6,2020-05-26 23:39:09+00:00,69,It’s sad man it’s 2020 he was murdered in broad daylight. By those who are supposed to protect us. With cameras and witnesses everywhere. I can’t breathe #icantbreathe #GeorgeFloyd #BlackLivesMatter 
7,2020-05-26 23:35:07+00:00,157,"Under a springtime sky, masked Minnesotans gather, mostly apart, signs and horns replacing chants. Anger, grief, pain, and the weary sadness that comes with too many days like this without necessary change. #JusticeForGeorgeFloyd #icantbreathe #BlackLivesMatter "
8,2020-05-26 23:34:59+00:00,89,"in our communities— that goes from breaking the cycle of colorism to checking the folks in our communities. If the xenophobia towards Asian-Americans during this pandemic upsets you, all of this should, too. #BLACKLIVESMATTER"
9,2020-05-26 23:33:24+00:00,89,i don’t know how to word this but it’s so possible to bring awareness to police brutality without constantly flooding people’s timelines with videos of black people being murdered for existing. it’s dehumanising and exhausting #blacklivesmatter #GeorgeFloyd
10,2020-05-26 23:33:01+00:00,979,George Floyd. Say his name. George Floyd. Say his name. George Floyd. Say his name. George Floyd. Say his name. George Floyd. Say his name. Rest in Power. #BlackLivesMatter 
11,2020-05-26 23:32:22+00:00,89,"Amy Cooper should have thought about the life of a black man when she lied to police about him threatening her life. This level of lies has consequences, especially when we know what's happening to black lives today. #BlackLivesMatter #RacialJustice"
12,2020-05-26 23:31:35+00:00,236,"We say your name #GeorgeFloyd. We are outraged. We are grieving. We are numb. We are tired. But we say your name. And renew our vow to fight for a nation that does not crush black lives. To my black sisters, brothers, siblings, you are not alone. #SolidarityIs #BlackLivesMatter "
13,2020-05-26 23:30:19+00:00,365,Black Lives Matter. He’s not even treated like a human. #BlackLivesMatter Dont look away. We need to stop ignoring the ugly truth. Stop excusing this. BLACK. LIVES. MATTER!! Call it what it is: murder. 
14,2020-05-26 23:30:09+00:00,1808,"I feel like it’s so fucked up that we constantly have to remind officers and police men not to kill us or treat us so brutally #GeorgeFloyd #BlackLivesMatter this is so sad, my heart bleeds "
15,2020-05-26 23:29:47+00:00,206,Lemme clarify if I see one #AllLivesMatter under a #BlackLivesMatter tweet imma slap the literal shit out somebody child. We saying black lives matter cause they’re the ones treated like they don’t. Ofc all lives matter but if it’s the case AMERICA NEED TO ACT LIKE IT.
16,2020-05-26 23:28:08+00:00,87,Straight b.s. #BlackLivesMatter #RIPGeorgeFloyd
17,2020-05-26 23:26:57+00:00,1244,Call the cops! #CentralParkKaren #blacklivesmatter #ChristianCooper
18,2020-05-26 23:26:24+00:00,42,"Read our statement with @BlackVisionsMN, @nacdimn, and @UnidosMN on the killing of #GeorgeFloyd in Minneapolis. Let's be clear: He should be alive today – and there is no justification for this inhumane and lethal use of force. https://bit.ly/2X5Hw5O #BlackLivesMatter "
19,2020-05-26 23:24:12+00:00,75,The Anti-Blackness pervasive in Asian-American communities gone unchecked leads to murder. The work we don’t do leads to murder. The privilege we benefit from leads to murder. #blacklivesmatter #southasiansforblacklives
20,2020-05-26 23:59:29+00:00,25,"Everything that has happened this week from the disgusting and manipulative racism-inspired hysteria call Amy Cooper made, to the extremely gruesome murder of George Floyd is a constant reminder that this world still sees being black as an unforgivable sin. #BlackLivesMatter"
21,2020-05-26 23:56:07+00:00,9,"Breathing is a fundamental human right. Our hearts are broken, yet again, as another defenseless & unarmed black person is unjustly slain. We have to do better! ""I can't breathe."" #BlackLivesMatter #GeorgeFloyd"
22,2020-05-26 23:50:12+00:00,41,No justice no peace. Prosecute the police. George Floyd. Minneapolis. #BlackLivesMatter #WECANTBREATHE
23,2020-05-26 23:47:52+00:00,37,#racism is a public health crisis #GeorgeFloyd #SayHisName #BlackLivesMatter
24,2020-05-26 23:46:59+00:00,25,fck the police. #BlackLivesMatter
25,2020-05-26 23:45:25+00:00,44,"As a former journalist watching the news tonight--I screamed at the TV while watching anchor after anchor read the disclaimer, ""some of you may find this disturbing."" Some? Some? I hope with all my heart we all find it disturbing. #BlackLivesMatter"
26,2020-05-26 23:44:54+00:00,24,"White people need to do better because #blacklivesmatter. ""But Amy Cooper is not an anomaly. She is, unfortunately, the norm."" "
27,2020-05-26 23:44:53+00:00,31,"A black man gets brutally killed by the cops and white ppl still have the nerve to go “all lives matter” on our asses. Your life already matters, wat bedoel je precies? #blacklivesmatter"
28,2020-05-26 23:42:14+00:00,22,CTUL members demanding justice for #GeorgeFloyd outside our building #BlackLivesMatter #NoJusticeNoPeace
29,2020-05-26 23:39:48+00:00,66,"Thank you for this list of resources! It’s not enough to be angry, it’s not enough to send thoughts and prayers! This is on us! Let’s educate ourselves and act From love #BlackLivesMatter "
30,2020-05-26 23:38:34+00:00,35,"And honestly, I really don't want to see a hashtag from non-Black people today. If you believe that #BlacklivesMatter, prove it."
31,2020-05-26 23:38:08+00:00,69,The US is the only place where a black man can be vilified for taking a knee in peaceful protest and a white cop can be famous for taking a knee in violence. #JusticeForGeorge #BlackLivesMatter #RacismKills #RIPGeorgeFloyd
32,2020-05-26 23:37:01+00:00,11,Once again the living breath taken from an African American. Moms Clean Air Force cannot and will not tolerate sacrifice zones--or sacrifice people. This is horrifying. Image @shirien.creates May George Floyd Rest in Power. #blacklivesmatter #JusticeForGeorge #GeorgeFloyd
33,2020-05-26 23:35:28+00:00,45,We need more than the loss of a job. They need to be charged and convicted. I’m sick and tired of seeing situations like this. Murder of someone who looks like me floating around social media as if it’s a “norm”. #BlackLivesMatter #Edchat
34,2020-05-26 23:33:51+00:00,71,Tell me again how All lives matter! #GeorgeFloyd #BlackLivesMatter 
35,2020-05-26 23:23:09+00:00,108,In case you still don’t get it. #BlackLivesMatter 
36,2020-05-26 23:22:41+00:00,18,"""You CAN'T kill us ALL!"" #BlackLivesMatter "
37,2020-05-26 23:22:33+00:00,37,i struggled to make this. black lives matter. George didn’t deverve this. None of us deserve this. This is america. #GeorgeFloyd #SayHisName #BlackLivesMatter #icantbreathe #JusticeForFloyd
38,2020-05-26 23:21:24+00:00,26,The rise of public executions like this are not a mistake. They are training us to accept this. They are training us to live in fear. This is a form of terrorism. I do not consent to being governed like this and it my right to abolish this system of oppression. #BlackLivesMatter 
39,2020-05-26 23:20:25+00:00,80,"Do I speak up b/c I cannot bear to stay quiet? B/C I have privilege? B/C unless I'm part of the solution, I'm part of the problem? Or do I sit quietly & just listen for all the same reasons? So I'll just say: #BlackLivesMatter to me. Dreams deferred matter to me. And then listen. "
40,2020-05-26 23:20:22+00:00,79,Pandemic or not... this country is broken #BlackLivesMatter
41,2020-05-26 23:17:13+00:00,991,.@amyklobuchar his name was #GeorgeFloyd. He was killed by the police. This statement isn’t surprising considering your record as DA. Doesn’t make it any less aborrent. #BlackLivesMatter #SayHisName
42,2020-05-26 23:16:09+00:00,56,"#JusticeForGeorgeFloyd Convict Send those killer cops to jail The whole damn system Is guilty as hell We need an independent, transparent, community-led investigation with power to subpoena. No Trust in Mayor Frey No Trust in Trump’s FBI #BlackLivesMatter "
43,2020-05-26 23:12:26+00:00,243,Happy Children’s Day to the most beautiful human in my life Aunty loves you soo much #ZenithCares #BlackLivesMatter 
44,2020-05-26 23:09:23+00:00,1847,"RIP George Floyd. I’m trying to summon the words to express the horror, injustice and brutality but I’m at a total loss. I feel sick and sad. “Being black in America should not be a death sentence.” #BlackLivesMatter"
45,2020-05-26 23:08:06+00:00,218,People are showing up for George Floyd #BlackLivesMatter 
46,2020-05-26 23:07:50+00:00,101,I’ve got free masks for protestors on the corner of 15th and 38th. #JusticeForFloyd #JusticeForGeorge #icantbreathe #BlackLivesMatter
47,2020-05-26 23:03:50+00:00,16892,"None of us can ignore the systemic racism that continues to plague our country. Not when our Black friends, family, and neighbors still fear dying in the streets. #BlackLivesMatter and we must come together to make that true."
48,2020-05-26 23:01:35+00:00,114,"They need to be in jail for murder. #GeorgeFloyd there were as many as 3-4 cops with their knees pinning him down at one point. #BlackLivesMatter I'm 33 &amp; my Mom still calls &amp; tells me to be careful, and txt her when I'm safely back in my home. Our parents fear for our lives! "
49,2020-05-26 23:01:15+00:00,4914,"Our criminal justice system is racist. No mincing words. The criminalizing and killing of Black & Brown bodies is not new, it’s as old as America — it’s just getting filmed more. When will our humanity count? We are sick of it! #GeorgeFloyd #BlackLivesMatter "
