,Datetime,Favorites,Text
0,2020-05-28 23:59:55+00:00,72,How do we get rid of Abusive Police Officers? It’s obvious they don’t care about cameras #BlackLivesMatter #NAACP
1,2020-05-28 23:59:51+00:00,34,"All lives can’t matter till black lives matter. For my non-black poc folks out there, your safety is a delusion. This is your fight too. The oppressor doesn’t care. If you’re different, you’re next. #BlackLivesMatter"
2,2020-05-28 23:59:33+00:00,103,it is a privilege to simply sit in ur home and debate on whether or not u will speak up about this. the mere fact that it's optional for u shows privilege. for some this activism is the difference in life and death. #BlackLivesMatter
3,2020-05-28 23:59:31+00:00,104,"Cops kill more Whites each year, it is not a race issue. It only is to the #BlackLivesMatter idiots and those that want to exploit race issues. This cop was in the wrong I agree and it is negligent homicide for sure, but the thugs and animals burning down their city is no help."
4,2020-05-28 23:59:29+00:00,306,There's a man going 'round taking names. This is in response to my friend @mcgillab challenge. #HowAboutNow #TakeTwoKnees #BlackLivesMatter. 
5,2020-05-28 23:59:01+00:00,26,#BlackLivesMatter Say their names. 
6,2020-05-28 23:58:55+00:00,35171,"OUR SYSTEM IS CORRUPT. WE NEED CHANGE. I STAND WITH #BLACKLIVESMATTER NOT JUST TODAY, NOT TOMORROW, BUT FOREVER."
7,2020-05-28 23:58:39+00:00,3158,The protest in downtown Minneapolis tonight is massive. #BlackLivesMatter 
8,2020-05-28 23:58:26+00:00,52,Not fearing for your life is white privilege. Not having to prioritize racism over your hobbies is white privilege. Deciding that losing popularity is more important than deconstructing racism is white privilege. Being silent is white privilege. #BlackLivesMatter
9,2020-05-28 23:58:26+00:00,313,"The world is a terrible place for Black and Brown folks right now. Listen, validate, amplify their voices. Please don't share violent content. Educate yourself on racism as a structural issue. I believe that #BlackLivesMatter. If you don't agree feel free to unfollow."
10,2020-05-28 23:58:23+00:00,27,Stop using this serious matter as a method to gain followers and clout. Seriously. Wtf. #BlackLivesMatter
11,2020-05-28 23:58:15+00:00,161,PLEASE LISTEN TO THIS! ALEJANDRO VARGAS MARTINEZ WAS KILLED WHILE WALKING TO SCHOOL AND THERE HAVE BEEN NO ARRESTS MADE. HE DESERVES JUSTICE SAY HIS NAME #JusticeForAle #BlackLivesMatter 
12,2020-05-28 23:58:14+00:00,29,stop trending kpop hashtags. instead trend #BlackLivesMatter and reply with that if you see this 
13,2020-05-28 23:58:11+00:00,58,#BlackLivesMatter is not associated with any political party. It’s about treating people equally. Stop making it something it’s not. It’s way more important.
14,2020-05-28 23:58:08+00:00,2939,Relieved to see that the memorial fund for George reached its goal. #BlackLivesMatter (http://gofundme.com/f/georgefloyd) My heart goes out to the family..
15,2020-05-28 23:57:55+00:00,394,"We. Are. LIVE! https://youtu.be/KTWIha_rwEg Talking Hitler’s pet alligator, #Blacklivesmatter riots, Trump’s incoming social media EO &amp; EVERYTHING wrong with Gov. Gretchen Whitmer! With special guest @DineshDSouza!"
16,2020-05-28 23:57:32+00:00,39,"#BlackLivesMatter is a movement/campaign against violence and systematic racism towards black people. Contrary to what the majority thinks, it is more than a trending hashtag. It is not a one day event, it was formed years ago. Don't use this for clout. They need honest support. "
17,2020-05-28 23:57:31+00:00,44,"From the streets of Minneapolis. 20,000 protesters came out to demand justice for George Floyd. Undeterred by police repression, community members will continue to protest.#JusticeForGeorgeFloyd #BlackLivesMatter #PoliceBrutality https://www.change.org/p/mayor-jacob-frey-justice-for-george-floyd…"
18,2020-05-28 23:56:21+00:00,28,"Human rights are not a debate. Black lives are not expendable. If you can donate, please donate. https://minnesotafreedomfund.org/donate If you can’t, please sign. https://sign.moveon.org/petitions/justiceforfloyd-demand-the-police-officers-who-killed-george-floyd-are-fired Share these links. Listen to black voices. Help however you can. #JusticeForFloyd #BlackLivesMatter"
19,2020-05-28 23:59:57+00:00,14,this is george floyd with his baby. he died after pleading that he couldn't breathe while a police officer held him down with a knee on his neck for several minutes. he was a father. and he deserves justice. #BlackLivesMatter #JusticeForGeorgeFloyd
20,2020-05-28 23:59:47+00:00,41,i don't want to live in a world where basic human rights are taken away because of the color of your skin. #JusticeForGeorgeFloyd #BlackLivesMatter https://twitter.com/Lin_Manuel/status/1266006697983827969
21,2020-05-28 23:59:26+00:00,10,It costs nothing and hurts no one to stand up for and become an ally to people who are discriminated against every single day. This is especially important if you are a privileged person. #BlackLivesMatter
22,2020-05-28 23:59:23+00:00,14,if you unfollow/block/mute/soft-block anyone who is talking about blm and the injustices being served you are part of the problem #BlackLivesMatter
23,2020-05-28 23:59:19+00:00,24,"If you had nothing to say about white people protesting in the streets so they could get a haircut and a burger, but you’re mad that Black folks are out protesting a man being murdered, that’s racism in a nutshell. #BlackLivesMatter #GeorgeFloyd"
24,2020-05-28 23:59:16+00:00,142,"w/nwin needs more lines, but you definitely don’t. #BlackLivesMatter"
