,Link,Datetime,Favs,Retweets,Count
62,https://www.columbusalive.com/news/20200612/we-were-terrified-and-confused-curious-case-of-colorful-school-bus?fbclid=IwAR0TLGG1dD9K_m6iJgiZd6zC5cGvY6DFlaNnZgbhVot4S-NNir72nWri4Sk,2020-06-13 16:18:04+00:00,69,46,1
63,https://buff.ly/2BNDM0P,2020-06-13 16:20:02+00:00,293,164,1
64,http://hill.cm/dRYDDT7,2020-06-13 16:36:19+00:00,69,24,1
65,http://lafaceskincare.com,2020-06-13 16:46:24+00:00,112,74,1
66,https://econ.trib.al/wZnb8RU,2020-06-13 17:00:12+00:00,85,31,1
67,https://congregatecville.com/,2020-06-13 17:07:25+00:00,34,29,1
68,https://www.google.com/amp/s/www.denverpost.com/2019/10/23/dr-justina-ford-denver-first-female-african-american-doctor/amp/,2020-06-13 17:08:52+00:00,378,90,1
69,http://bobmoran.co.uk,2020-06-13 17:25:41+00:00,153,64,1
70,http://telegraph.co.uk/bobprints,2020-06-13 17:25:41+00:00,153,64,1
71,https://sixnineteen.com,2020-06-13 17:30:50+00:00,85,36,1
72,https://www.them.us/story/dominique-remmie-fells-riah-milton-transphobic-violence,2020-06-13 17:57:45+00:00,453,365,1
73,http://bit.ly/3fbCNFY,2020-06-13 18:00:01+00:00,84,22,1
74,https://www.portlandoregon.gov/police/news/read.cfm?id=250878,2020-06-13 18:00:05+00:00,1417,921,1
75,http://www.bbthrpridesummit.com,2020-06-13 18:13:38+00:00,255,31,1
76,https://bit.ly/30CL5me,2020-06-13 18:45:25+00:00,804,329,1
77,https://action.aclu.org/petition/divest-police-invest-black-and-brown-communities,2020-06-13 19:04:26+00:00,960,537,1
78,http://bit.ly/submit-your-bstox-event,2020-06-13 19:38:12+00:00,71,60,2
79,http://www.barbarasueko.com/finished-hoops/racism-is-small-dick-energy,2020-06-13 20:09:41+00:00,139,28,1
80,https://thefederalist.com/2020/06/12/why-supporting-black-lives-matter-is-anti-christian-and-anti-life/,2020-06-13 20:16:35+00:00,55,61,1
81,https://www.nytimes.com/interactive/2020/06/13/us/george-floyd-protests-cities-photos.html,2020-06-13 20:28:22+00:00,474,178,1
82,http://everydayamericanjoe.com,2020-06-13 20:34:36+00:00,133,86,1
83,https://everydayamericanjoe.com/images/video/IllRemember.mp4,2020-06-13 20:34:36+00:00,133,86,1
84,http://tampabay.com,2020-06-13 21:10:12+00:00,107,45,1
85,http://MLive.com,2020-06-13 21:26:13+00:00,272,80,1
86,https://linktr.ee/BigJon,2020-06-13 21:30:17+00:00,292,176,1
87,https://horaro.org/stopandcease/schedule,2020-06-13 21:30:17+00:00,292,176,1
88,http://freedomplatform.tv/icke,2020-06-13 21:40:00+00:00,1850,795,9
89,https://www.rawstory.com/2020/06/atlantas-police-chief-is-out-and-the-mayor-is-demanding-the-immediate-termination-of-cop-who-shot-rayshard-brooks/,2020-06-13 22:39:16+00:00,62,19,1
90,https://www.bloomberg.com/amp/opinion/articles/2020-06-13/rio-tinto-s-demolition-of-sacred-site-doesn-t-match-its-image?__twitter_impression=true,2020-06-13 22:40:01+00:00,67,35,1
91,http://vogue.cm/DDGzaSe,2020-06-13 23:11:45+00:00,293,42,1
92,https://slefworth.com/2020/06/09/shukri-abdi-caroline-bailey-why-this-school-in-uk-is-responsible-for-their-deaths/,2020-06-13 23:31:09+00:00,50,70,1
93,https://www.change.org/p/manchester-police-justice-for-shukri-abdi?recruiter=1100170134&amp;utm_source=share_petition&amp;utm_medium=twitter&amp;utm_campaign=psf_combo_share_message&amp;utm_term=bf73be4514d04db883787948c9caad7d&amp;recruited_by_id=58b6ffe0-a2e5-11ea-8400-038497d9f030&amp;share_bandit_exp=message-16460961-en-GB&amp;share_bandit_var=v1,2020-06-13 23:31:09+00:00,50,70,1
94,https://www.change.org/p/palmdale-pd-robert-fuller-was-found-dead-june-10-2020-after-he-was-found-hanging-from-a-tree-in-ca?utm_content=cl_sharecopy_22789473_en-US%3Av3&amp;recruiter=1018078905&amp;recruited_by_id=c91a40b0-04a4-11ea-80e6-ed642f574480&amp;utm_source=share_petition&amp;utm_medium=copylink&amp;utm_campaign=psf_combo_share_initial,2020-06-13 23:32:43+00:00,55,11,1
95,https://twit.tv/posts/inside-twit/we-believe-black-lives-matter,2020-06-13 23:42:04+00:00,122,17,1
96,https://www.change.org/p/andy-beshear-justice-for-breonna-taylor,2020-06-14 00:00:00+00:00,3269,531,3
97,https://thejeffreylord.com/rioters-vandalized-monument-to-black-civil-war-regiment/,2020-06-14 00:08:37+00:00,189,180,1
98,https://horaro.org/calithonstandtogether/schedule,2020-06-14 00:15:13+00:00,94,60,1
99,https://action.justiceforbreonna.org/sign/BreonnaWasEssential/,2020-06-14 00:17:39+00:00,2472,475,1
100,https://www.nationalreview.com/2015/10/police-shootings-race-excessive-force/,2020-06-14 00:21:23+00:00,397,163,1
101,https://iranwire.com/en/features/933,2020-06-14 00:36:49+00:00,101,71,1
102,https://www.change.org/p/victorville-justice-for-malcom-harsch,2020-06-14 00:56:07+00:00,73,71,1
103,http://blacklivesmatters.carrd.co,2020-06-14 00:58:05+00:00,282,144,3
104,https://moreblminfo.carrd.co,2020-06-14 00:58:05+00:00,80,40,1
105,t.co/YkbYKFXtp3,2020-06-14 01:31:03+00:00,63,34,1
106,http://bit.ly/yjctoolkit,2020-06-14 02:32:43+00:00,25,15,1
107,https://www.seattletimes.com/seattle-news/seattle-area-protests-live-updates-on-saturday-june-13/,2020-06-14 02:42:37+00:00,198,36,1
108,https://www.portlandoregon.gov/police/news/read.cfm?id=250877,2020-06-14 03:12:26+00:00,1104,620,1
109,http://archive.vn/m5K6J#selection-560.54-560.55,2020-06-14 03:12:26+00:00,1104,620,1
110,http://u.afp.com/3Wpf,2020-06-14 03:20:00+00:00,133,94,1
111,https://atlsolidarity.org/,2020-06-14 03:21:27+00:00,261,93,1
112,http://archive.vn/RfD1y,2020-06-14 03:22:30+00:00,349,289,1
113,http://archive.vn/Wad0F,2020-06-14 03:22:30+00:00,349,289,1
114,http://archive.vn/A0gIr,2020-06-14 03:24:02+00:00,379,314,1
115,http://archive.vn/dsgkt,2020-06-14 03:24:02+00:00,379,314,1
116,http://archive.vn/FaULd,2020-06-14 03:28:29+00:00,282,179,1
117,http://archive.vn/k3CtG,2020-06-14 03:28:29+00:00,282,179,1
118,http://archive.vn/7cigj,2020-06-14 03:28:29+00:00,282,179,1
119,http://archive.vn/S2eYA,2020-06-14 03:32:56+00:00,580,345,1
120,http://archive.vn/1nw38,2020-06-14 03:32:56+00:00,580,345,1
121,https://github.com/chancancode/branch-rename/,2020-06-14 03:39:29+00:00,205,97,1
122,https://bbc.in/2C4wMgc,2020-06-14 04:00:04+00:00,33,11,1
123,http://u.afp.com/3Wpp,2020-06-14 04:10:00+00:00,57,30,1
124,https://apnews.com/afs:Content:9043930562,2020-06-14 05:00:54+00:00,372,207,1
125,https://www.mediamatters.org/fake-news/debunked-conspiracy-theory-about-black-lives-matter-actblue-and-democrats-can-be-traced,2020-06-14 05:00:54+00:00,372,207,1
126,https://www.factcheck.org/2020/06/donations-to-black-lives-matter-group-dont-go-to-dnc/,2020-06-14 05:00:54+00:00,372,207,1
127,https://www.politifact.com/factchecks/2020/jun/12/ryan-fournier/conservative-pundits-share-false-claim-about-black/,2020-06-14 05:00:54+00:00,372,207,1
128,https://factcheck.thedispatch.com/p/is-black-lives-matter-a-shell-company,2020-06-14 05:00:54+00:00,372,207,1
