,Datetime,Favorites,Text
0,2020-06-09 23:47:58+00:00,7417,Done. #BlackLivesMatter // John Merrick Media 
1,2020-06-09 23:43:44+00:00,1120,Amazing. #BlackLivesMatter 
2,2020-06-09 23:26:41+00:00,843,Lawmakers in Tennessee have voted to keep the bust of Nathan Bedford Forrest inside the state capitol building. Forrest was a leader of the Ku Klux Klan. #BlackLivesMatter 
3,2020-06-09 23:11:02+00:00,2454,He tweeted hateful things about black people and women. Fuck your continuity. #BlackLivesMatter pic.twitter.com/mpi5qLiVW3
4,2020-06-09 23:08:48+00:00,39,Where?? #BLMprotest #blacklivesmatter 
5,2020-06-09 23:07:48+00:00,9744,I proudly stand beside my brothers and the entire black community in support of the #BlackLivesMatter movement to end systemic racism. 
6,2020-06-09 23:05:21+00:00,365,Aaaaaaannnnddddd done. #BlackLivesMatter 
7,2020-06-09 22:52:12+00:00,14,"Protest in Beirut, Lebanon. We are with you all. End racism. Promote peace and Love #GeorgeFloyd #لبنان__ينتفض #BlackLivesMatter "
8,2020-06-09 22:45:05+00:00,80,"hey! i’m selling handmade BLM bracelets :) all funds made will be donated to Black Minds Matter, a uk based charity. please dm me if you’re interested in buying one! & please rt/share this :) *WORLDWIDE* #BlackLivesMatter "
9,2020-06-09 22:42:56+00:00,81,Enough is Enough nomore silence I’m standing for what I believe in #Blacklivesmatter 
10,2020-06-09 22:17:24+00:00,53,"Yesterday was my 2 year anniversary of starting HRT, and I wanted to commemorate it, but at this moment I don't want to celebrate only myself, so I'm also donating $200 to the Black Trans Protesters Emergency Fund as well. Keep this movement going. #PRIDE2020 #BlackLivesMatter "
11,2020-06-09 22:15:34+00:00,1187,I brough a #blacklivesmatter sign written in Iñupiaq to the gathering in Trondheim today 
12,2020-06-09 21:51:21+00:00,131,4.0 & Dean’s List. I think I’ll choose Humility today tho. All Glory To GOD. #BlackLivesMatter 
13,2020-06-09 21:48:23+00:00,1467,Charlotte is dope. #BlackLivesMatter 
14,2020-06-09 21:33:13+00:00,2427,‘Black is beautiful. Black is excellent. Black is love. Black is elegant.’ — 7-year-old Nylah stole the show at this #BlackLivesMatter protest in the UK 
15,2020-06-09 21:31:29+00:00,1543,Bad news for the world: South Africa isn't an amazing gift to the world when it comes to achieving an anti-racist society ... even with a black-led government in charge. #BlackLivesMatter 
16,2020-06-09 21:26:07+00:00,1822,My take on violence in black communities and #BlackLivesMatter 
17,2020-06-09 21:18:26+00:00,2034,"While the US is still on #BlackLivesMatter they must remember that there is still slave trade happening in Libya. They US created a state of disaster in Libya in 2011, after Hilary Clinton and Barack Obama killed Gaddafi. Today Africans are being sold in slavery auctions! "
18,2020-06-09 21:17:36+00:00,374,I want us to always remember Breonna Taylor because I want her to be the last black woman we lose to police violence. #JusticeforBreonnaTaylor #BlackLivesMatter
19,2020-06-09 21:17:29+00:00,71,"Every rioter with the same outfit, tear gas-proof mask, plenty of Molotov cocktails ... Hong Kong rioters were far more sophisticated than US protesters. No wonder it lasted much longer ... #BlackLivesMatter pic.twitter.com/TZm5xjQWhd"
20,2020-06-09 23:53:52+00:00,11139,It’s a movement not a moment #BlackLivesMatter 
21,2020-06-09 23:06:05+00:00,13188,"“Stop treating us like animals and thugs,” says the thug boss allowing his animals to attack civilians. respect is earned, and you have not earned it. #BlackLivesMatter "
22,2020-06-09 23:03:31+00:00,1521,"Text reads: #BlackLivesMatter Treat racism like #COVID19: Assume you have it Listen to experts about it Don’t spread it Be willing to change your life to end it. Not sure whose sign this is, found via @SlaterTheDoctor"
23,2020-06-09 22:56:33+00:00,133,Keep the #BlackLivesMatter energy up y’all. Keep playing your part in whichever avenue you choose. Keep educating those that lack knowledge about our history. Keep donating. Keep voting. Keep saying our loved one’s names. KEEP THE MOVEMENT GOING 
24,2020-06-09 22:55:36+00:00,1334,"Rest in Power, Sarah Grossman 22 years young. Protesting for racial justice. Columbus, Ohio. Tear-gassed and pepper-sprayed by the police. Should still be with us. #BlackLivesMatter "
25,2020-06-09 22:50:09+00:00,5,"“No Justice, No Peace!” #blacklivesmatter Peaceful Protest in Kennesaw, GA : me #GeorgeFloyd #AhmaudArbery #icantbreathe"
26,2020-06-09 22:49:35+00:00,1672,"I tweet “#blacklivesmatter ” and a whole bunch of Catholics jump into my replies to say “REALLY?! YOU SUPPORT A QUEER-AFFIRMING ORGANIZATION THAT USES THE TERM COMRADE?!” instead of just saying “yes, you are right, let’s work together to change the system” and that sucks"
27,2020-06-09 22:39:39+00:00,1,ALL WHITES R NAZIS PERIOD #BlackLivesMatter #AWAN #ACAB
28,2020-06-09 21:47:52+00:00,5,@blmsouthend &lt;&lt;&lt;&lt;&lt; check them out! #blacklivesmatter 
29,2020-06-09 21:45:16+00:00,69,Why has the world remained silent on @sternshow @HowardStern and his history of use of #blackface #BlackLivesMatter @ABC7NY @NBCNewYork @CBSNewYork
