,Datetime,Favorites,Text
0,2020-06-11 23:57:21+00:00,271,It’s easier to build up a child than it is to repair an adult. Pass the truth to the next generation. Teach them early what some learn late. #BlackLivesMatter 
1,2020-06-11 23:51:37+00:00,28039,This is what rioters did to the Minneapolis Sheraton they took over after the riots. This was converted to their “sanctuary.” They raised hundreds of thousands through crowdfunding to support the illegal occupation. #BlackLivesMatter 
2,2020-06-11 23:47:11+00:00,4,#Antifa and #BlackLivesMatter Deface Hero Matthias Baldwin Statue! 
3,2020-06-11 23:41:28+00:00,12546,"BREONNA’S LAW WAS PASSED UNANIMOUSLY IN LOUISVILLE, KENTUCKY JUST NOW. THIS WILL BAN THE USE OF NO-KNOCK WARRANTS/RAIDS. WE DID IT! BUT OUR WORK IS NO WHERE NEAR DONE YET!! #JusticeForBreonnaTaylor #BlackLivesMatter"
4,2020-06-11 23:27:44+00:00,2,This y’all nigga????? Fuck trump!!!BLM #TrumpResignNow #BlackLivesMatter pic.twitter.com/8pufmF6Lc4
5,2020-06-11 23:13:21+00:00,357,We’re out in the Bayview today with a crowd of hundreds celebrating the movement to defend our neighbors—and our democracy. #BlackLivesMatter 
6,2020-06-11 23:11:00+00:00,91,"Marian Catholic parking lot 06/20, the day after Juneteenth. We are NOT slowing down. #BlackLivesMatter "
7,2020-06-11 23:07:12+00:00,204,I need y’all to see this. #BlackLivesMatter 
8,2020-06-11 23:04:13+00:00,141,"#blacklivesmatter today socially distanced on the beach in Donegal, Ireland hasn’t forgotten "
9,2020-06-11 23:02:15+00:00,5443,"This is the police department logo for f Gettysburg, SD. They refuse to change it bc ""history"", and has ""nothing to do with racism"". The Confederate flag was added in 2009, after the election of Barack Obama. #BlackLivesMatter "
10,2020-06-11 22:53:10+00:00,33143,Wow this is #BlackLivesMatter in San Fransisco. Incredible. 
11,2020-06-11 22:30:20+00:00,340,"There's a system failure in the UK media. Black voices are rarely asked to speak about anything other than race: so you get culture wars, which are basically groups of predominantly white people talking to themselves. They should be called monoculture wars. #BlackLivesMatter"
12,2020-06-11 22:18:12+00:00,192,It is incredibly dangerous to mute black voices in an attempt to prevent us from speaking the truth. Today we amplify @SashaExeter who was threatened by TV personality #JessicaMulroney #blacklivesmatter #blackbloggersmatter
13,2020-06-11 22:17:29+00:00,44,"Karen Parr nee Bates, works for the Federal Bureau of Prisons and she posted this last night and called my friend the n-word today. Let’s make her famous! #BlackLivesMatter #racists"
14,2020-06-11 22:06:10+00:00,1,Just so we're fucking clear. This is still happening. #BlackLivesMatter pic.twitter.com/y04BvygGBi
15,2020-06-11 22:04:28+00:00,8,"class of 2020, we are the change we want to see. #BlackLivesMatter #Classof2020"
16,2020-06-11 21:55:48+00:00,22,"HEY PLEASE LOOK!! my friend's father was murdered, and the investigation is still ongoing. her family doesn't have the funds to pay for his cremation as they grieve. PLEASE boost and consider donating, show up for those in need!! #BLM #BlackLivesMatter "
17,2020-06-11 21:47:38+00:00,5,Took this photo last Year in IMMA & it speaks 1000 words. If anyone knows the Artist hit me up #BlackLivesMatter 
18,2020-06-11 21:43:31+00:00,3750,Don’t let the #PS5 reveal distract you from the fact that Black People are still being KILLED by Police Brutality on a DAILY BASIS! #BlackLivesMatter 
19,2020-06-11 21:36:35+00:00,4368,Support for our movement is growing; Americans are waking up to the injustices that our communities have faced for decades and raising their voices to say #BlackLivesMatter. We will win this fight. 
20,2020-06-11 23:56:38+00:00,19,Tempe. It’s time to be apart of a positive change! #BlackLivesMatter 
21,2020-06-11 23:51:19+00:00,312,"Vegreville, Alberta Canada. A rural town with a lot of spirit. About 40 people gathered today in support of #BlackLivesMatter Really great to see. "
22,2020-06-11 23:42:24+00:00,5,Silent protest for 8mins and 46 seconds in My small rural town in Eastern Ontario. Showing my kids they must try to change the things they can’t accept. #BlackLivesMatter 
23,2020-06-11 23:35:30+00:00,42,They are the dark side. #BlacklivesMatter 
24,2020-06-11 23:23:36+00:00,27,Just saw the video of a teenager being aggressively taken down & handcuffed for walking while being black. Seems like Tulsa is the perfect place to have Trump's Nuremberg Rally. #BlackLivesMatter
25,2020-06-11 23:22:52+00:00,7,Apparently he is a well known #Dogger can anyone confirm? #HampsteadHeath #BigBoy #bbcqt #London #BlackLivesMatter #FawltyTowers
26,2020-06-11 23:17:17+00:00,29,Called this man out for being racist and saying this stupid shit. He doesn’t seem to care at all. Let’s make him care. #BlackLivesMatter pic.twitter.com/l1hDa0jWDI
27,2020-06-11 22:53:12+00:00,6564,"The Black activists, organizers and advocates who have been fighting for abolition aren’t asking for your permission or thoughts on their movement. Please stop trying to whitesplain #DefundThePolice. Let our spectacular Black Leaders lead us to a better way. #BlackLivesMatter"
28,2020-06-11 22:50:08+00:00,4,I can't breathe #BlacklivesMatter 
29,2020-06-11 22:42:06+00:00,4,To help you understand why we say #BlackLivesMatter 
30,2020-06-11 22:31:43+00:00,3,Don’t stop fighting for justice. Don’t stop fighting for equality. This is just the beginning. #BlackLivesMatter 
31,2020-06-11 22:30:04+00:00,13,Gotta do something Big so the Racist President and Chief gets no airtine no press on JUNETEENTH. #blacklivesmatter 
32,2020-06-11 22:26:50+00:00,2305,"Wow @Starbucks. To ALL COMPANIES putting out “politically correct” statements but contradicting them with your actions... you are not helping us. We need change from within, not empty words for branding. #BlackLivesMatter "
33,2020-06-11 22:26:21+00:00,747,#BlackLivesMatter protesters silently watch on as Iowa House Judiciary Committee unanimously advances the just-released bill on racial justice/police reform. Full House likely to take it up yet tonight 
34,2020-06-11 22:13:02+00:00,454,"The fight is far from over. Our future is dependent on the commitment for change, and racial equality is only achieved with continued action. We are pledging $10,000 to the Equal Justice Initiative, but we can do even better with your help. #BlackLivesMatter "
35,2020-06-11 22:08:23+00:00,370,25+ tents so far at the Van Colln Memorial Field encampment and even more people. The city needs to start caving to demands because its people are not backing down nor going to be tear gassed into submission. #HousingForAll #DefundThePolice #BlackLivesMatter 
36,2020-06-11 21:55:52+00:00,0,#LadyAntebellum Makes Name Change in Response to #BlackLivesMatter Movement 
37,2020-06-11 21:32:18+00:00,10,When is Trump going to put up a Hitler statue for holocaust survivors? #BlackLivesMatter #AmericaOrTrump #VoteTrumpOut
38,2020-06-11 21:21:58+00:00,8,Justice for George Floyd. Justice for all victims #BlackLivesMatter #MLK
39,2020-06-11 21:21:28+00:00,2,"NO JUSTICE, NO PEACE, NO CROOKED POLICE! #blacklivesmatter pic.twitter.com/l25QNhgTR0"
40,2020-06-11 23:48:02+00:00,527,"Before I was on Pete Carroll's #Seahawks call I was in #capitolhillautonomouszone, the alleged epicenter of anarchy in Seattle. The most danger I came across: a bigger dog barked at my smaller dog. Peaceful. Be well. Be empathetic. #BlackLivesMatter "
41,2020-06-11 23:47:14+00:00,332,"A historic moment in the Iowa House as the board lights up in green with yes votes for the bipartisan racial justice/police reform bill that was rapidly written and advanced this week, all while #BlackLivesMatter activists look on. Passes 98-0 "
42,2020-06-11 23:36:57+00:00,77,The streets continue to demand justice. #BlackLivesMatter 
43,2020-06-11 23:33:47+00:00,19,#BlackLivesMatter #Art Some art of blm Thesem3 are possibly new oc's I might add some things to them.
