,Datetime,Favorites,Text
0,2020-05-27 23:59:57+00:00,41,and for all the people that are pulling the “I’m not interested in politics” card are just so heartless...black people deserve to be PROTECTED & HEARD #BlackLivesMatter
1,2020-05-27 23:59:56+00:00,57,"If you have a platform, talk about it. Nobody cares if you are a fan acc or not, no need to keep it light for your followers. #BlackLivesMatter , step up and talk about it."
2,2020-05-27 23:59:53+00:00,51,"i’m not black, but i see you. i’m not black, but i hear you. i’m not black, but i mourn with you. i’m not black, but i will fight for you. #BlackLivesMatter "
3,2020-05-27 23:59:52+00:00,125,"this is important. this should not be silenced. innocent ppl shouldn't die bc of their skin colour. black ppl need justice, they need to live in peace without being scared of dying each time they leave their homes. if you see this please rt and reply with #BlackLivesMatter"
4,2020-05-27 23:59:51+00:00,146,"i have 3.2k moots. if you see this pls quote / reply with #BlackLivesMatter it’s important, if you wanna unfollow me then do it bcs someone already has."
5,2020-05-27 23:59:50+00:00,244,they deserve to live in peace. they deserve to be educated and get jobs and be brilliant in what they do. they deserve to love and be loved. they deserve to make families and see their kids growing up. they deserve to be happy and not afraid. #BlackLivesMatter 
6,2020-05-27 23:59:50+00:00,44,STOP SCROLLING N REPLY W #BlackLivesMatter TO SPREAD AWARENESS !!! &lt;3 THEY NEED US THE MOST !
7,2020-05-27 23:59:46+00:00,27,hey oomfs i haven't been active all day but if u see this pls reply with #BlackLivesMatter
8,2020-05-27 23:59:41+00:00,53,if you see this rt and reply with #BlackLivesMatter please!!
9,2020-05-27 23:59:38+00:00,24,"text ""FLOYD"" to 55156 text ""JUSTICE"" to 668-366 #JusticeForGeorgeFloyd #BlackLivesMatter and if you need to use a postal code to sign any petitions: 90015 - Los Angeles, California 10001 - New York City, New York 75001 - Dallas, Texas"
10,2020-05-27 23:59:35+00:00,164,"#JusticeForGeorgeFloyd #BlackLivesMatter this needs to stop. innocent lives need to stop being taken. rest in peace, you did not deserve this at all. "
11,2020-05-27 23:59:35+00:00,25,funny how some of y’all will go to the ends of the earth to clear searches for idols or whatever but will ignore and stay quiet about the movement at hand right now #BlackLivesMatter
12,2020-05-27 23:59:35+00:00,25,"I am going to be using my privilege as a non-black person to raise awareness on this and talk about it, please don’t silence yourself when people are dying and hurting #BlackLivesMatter"
13,2020-05-27 23:59:35+00:00,124,"i have 348 followers, how many can reply with #BlackLivesMatter ?"
14,2020-05-27 23:59:35+00:00,2257,"please don’t scroll. if you see this, please reply with #BlackLivesMatter so we can help spread awareness. this is so important please guys."
15,2020-05-27 23:59:34+00:00,78,moots if you see this tweet on your tl pls reply with #BlackLivesMatter
