,Datetime,Favorites,Text
0,2020-05-29 23:59:57+00:00,65,my city #BlackLivesMatter 
1,2020-05-29 23:59:36+00:00,99,"One noteworthy thing about the Barclays protest: there are people of all ages, races, genders, and sexualities standing in solidarity with #BlackLivesMatter tonight. We stand together for Black Americans. I forget the last time I marched with such a wide group of people."
2,2020-05-29 23:59:36+00:00,33,As we reflect on the unnecessary death of Marcus David Peters AND George Floyd @LevarStoney @GovernorVA We need the #MarcusAlert and a citizen review board! #BeyondPolicingRVA #BlackLivesMatter @RichmondForAll @richmondvaTAP #HelpNotDeath
3,2020-05-29 23:59:07+00:00,1522,I just watched this video 3 times in a row. Listen to these powerful words. #BlackLivesMatter 
4,2020-05-29 23:59:03+00:00,27338,Always! #BlackLivesMatter 
5,2020-05-29 23:58:49+00:00,75,From 2013. POC we need to stand together. We can't keep letting this happen #BlackLivesMatter #hispaniclivesmatter #GeorgeFloydMurder
6,2020-05-29 23:58:39+00:00,1170,Should have added this to the end. #BlackLivesMatter
7,2020-05-29 23:58:39+00:00,44,"Pls, hate does not cure hate. Only Love does. Two Wrongs don't make a Right, it only Amplifies the Former. #BlackLivesMatter Solve #TheMATTER with #Love"
8,2020-05-29 23:58:30+00:00,56,"if you’re ignoring it, you’re part of the problem. sharing information, donating, signing petitions, etc is just a few secs of your time. black people are dying. this is serious. and this will not change if people remain silent. speak up. use your voice. #BlackLivesMatter"
9,2020-05-29 23:58:27+00:00,2384,"Racism and injustice can not be tolerated. We don’t always know what to do or say in times like these. We feel as powerless as we're sure many of you do. George Floyd, Ahmaud Arbery, Breonna Taylor, the threat against Christian Cooper... #BlackLivesMatter"
10,2020-05-29 23:58:27+00:00,157,Really proud of @KimberlyforIowa and her remarks at Des Moines’ #JusticeForGeorgeFloyd #BlackLivesMatter rally. Let’s finally replace Joni Ernst. 
11,2020-05-29 23:58:25+00:00,1427,"I dont usually tweet about politics, but this is not the time to be silent. The brutal killing by police of George Floyd is hardly the first of its' kind, but just once was too many times. I stand with those who are fighting for fair and equal treatment of all. #BlackLivesMatter"
12,2020-05-29 23:58:24+00:00,92,I donated to Black Lives Matter. Please do the same if you can. I love you so much and will fight for you forever. #BlackLivesMatter #GeorgeFloyd #BreonnaTaylor #AhmaudArbery
13,2020-05-29 23:58:19+00:00,319,I don't speak on a lot of political issues but if it wasn't already apparent #BlackLivesMatter 
14,2020-05-29 23:58:18+00:00,47,it happens everywhere NO WHERE IS SAFE #BlackLivesMatter 
15,2020-05-29 23:58:09+00:00,631,at what age do I go from being articulate to angry? #blacklivesmatter #BreonnaTaylor #GeorgeFloyd
